Date, Open, High, Low,Close
07/24/23,4543.39,4563.41,4541.29,4554.64
07/21/23,4550.16,4555,4535.79,4536.34
07/20/23,4554.38,4564.74,4527.56,4534.87
07/19/23,4563.87,4578.43,4557.48,4565.72
07/18/23,4521.78,4562.3,4514.59,4554.98
07/17/23,4508.86,4532.85,4504.9,4522.79
07/14/23,4514.61,4527.76,4499.56,4505.42
07/13/23,4491.5,4517.38,4489.36,4510.04
7/12/2023,4467.69,4488.34,4463.23,4472.16
7/11/2023,4415.55,4443.64,4408.46,4439.26
7/10/2023,4394.23,4412.6,4389.92,4409.53
7/7/2023,4404.54,4440.39,4397.4,4398.95
7/6/2023,4422.62,4422.62,4385.05,4411.59
7/5/2023,4442.04,4454.06,4436.61,4446.82
7/3/2023,4449.45,4456.46,4442.29,4455.59
06/30/23,4422.44,4458.48,4422.44,4450.38
06/29/23,4374.94,4398.39,4371.97,4396.44
06/28/23,4367.48,4390.35,4360.22,4376.86
06/27/23,4337.36,4384.42,4335,4378.41
06/26/23,4344.84,4362.06,4328.08,4328.82
06/23/23,4354.17,4366.55,4341.34,4348.33
06/22/23,4355.4,4382.25,4351.82,4381.89
06/21/23,4380.01,4386.22,4360.14,4365.69
06/20/23,4396.11,4400.15,4367.19,4388.71
06/16/23,4442.7,4448.47,4407.44,4409.59
06/15/23,4365.33,4439.2,4362.6,4425.84
06/14/23,4366.29,4391.82,4337.85,4372.59
06/13/23,4352.61,4375.37,4349.31,4369.01
6/12/2023,4308.32,4340.13,4304.37,4338.93
6/9/2023,4304.88,4322.62,4291.7,4298.86
6/8/2023,4268.69,4298.01,4261.07,4293.93
6/7/2023,4285.47,4299.19,4263.96,4267.52
6/6/2023,4271.34,4288.33,4263.09,4283.85
6/5/2023,4282.99,4299.28,4266.82,4273.79
6/2/2023,4241.01,4290.67,4241.01,4282.37
6/1/2023,4183.03,4232.43,4171.64,4221.02
05/31/23,4190.74,4195.44,4166.15,4179.83
05/30/23,4226.71,4231.1,4192.18,4205.52
05/26/23,4155.98,4212.87,4156.16,4205.45
05/25/23,4155.71,4165.74,4129.73,4151.28
05/24/23,4132.96,4132.96,4103.98,4115.24
05/23/23,4176.8,4185.68,4142.54,4145.58
05/22/23,4190.78,4209.22,4179.68,4192.63
05/19/23,4204.15,4212.91,4180.2,4191.98
05/18/23,4157.68,4202.2,4153.5,4198.05
05/17/23,4122.85,4164.67,4113.62,4158.77
05/16/23,4127.95,4135.54,4109.86,4109.9
05/15/23,4126.65,4141.25,4110.27,4136.28
5/12/2023,4138.54,4143.74,4099.12,4124.08
5/11/2023,4132.24,4132.8,4109.29,4130.62
5/10/2023,4143.74,4154.28,4098.92,4137.64
5/9/2023,4124.25,4130.35,4116.65,4119.17
5/8/2023,4136.98,4142.3,4123.81,4138.12
5/5/2023,4084.73,4147.02,4084.73,4136.25
5/4/2023,4082.55,4082.61,4048.28,4061.22
5/3/2023,4122.25,4148.3,4088.86,4090.75
5/2/2023,4164.1,4164.1,4089.72,4119.58
5/1/2023,4166.79,4186.92,4164.12,4167.87
04/28/23,4129.63,4170.06,4127.18,4169.48
04/27/23,4075.29,4138.24,4075.29,4135.35
04/26/23,4087.78,4089.67,4049.35,4055.99